phase,type,start,end,surface_m2,volume_beton_m3,linear_m,effectif,reseau_m3,nb_essais,nb_unites
Base-vie Prestigia,bases_vie,2025-10-01,2027-10-01,803,,,188,,,
Gros oeuvre,gros_oeuvre,2025-11-01,2026-12-01,,89559,,200,,,
Mortier,mortier,2025-11-01,2026-12-01,,5099,,,,,
Chapes,chapes,2026-10-01,2027-10-01,49971,,,,,,
Enduits et humidification,maconnerie,2026-10-01,2027-10-01,127417,,,,,,
Sciage beton,sciage,2026-10-01,2027-10-01,,,32154,,,,
Carottages techniques,carottage,2026-10-01,2027-10-01,,,,,,,322
Terrassement,terrassement,2026-10-01,2026-12-01,153055,,,,,,
Mise en eau plomberie,plomberie_mee,2026-07-01,2027-07-01,,,,,10.17,,
Essais sprinklers,sprinklers_mee,2026-07-01,2027-07-01,,,,,0.64,,
Essais beton laboratoire,essais_labo,2025-11-01,2026-12-01,,,,,,1792,
Arrosage paysager,paysage,2027-06-01,2027-10-01,9472,,,,,,
Lavage de bennes,lavage_bennes,2025-11-01,2026-12-01,,,,,,,3399
